freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.293e+02,1.438e+02,3.131e+03,3.404e+03
1.6,1.645e+02,1.380e+02,1.995e+04,2.025e+04
3.1,3.187e+01,3.128e+01,7.761e+03,7.824e+03
4.7,1.690e+01,1.228e+01,3.344e+03,3.373e+03
6.3,3.372e+01,7.769e+00,2.556e+03,2.598e+03
7.9,3.994e+01,6.692e+00,2.579e+03,2.626e+03
9.4,3.987e+01,9.188e+00,3.212e+03,3.261e+03
11.0,4.014e+01,1.451e+01,3.798e+03,3.853e+03
12.6,2.154e+01,2.057e+01,4.634e+03,4.676e+03
14.1,2.359e+01,2.997e+01,5.877e+03,5.930e+03
15.7,2.239e+01,6.787e+01,8.127e+03,8.218e+03
17.3,3.546e+01,1.354e+02,1.057e+04,1.074e+04
18.9,1.782e+02,2.310e+02,1.376e+04,1.417e+04
20.4,4.146e+02,2.899e+02,1.842e+04,1.913e+04
22.0,5.212e+02,4.351e+02,2.511e+04,2.606e+04
23.6,4.394e+02,1.115e+03,3.443e+04,3.598e+04
25.1,4.697e+02,2.521e+03,4.847e+04,5.146e+04
26.7,1.434e+03,5.783e+03,6.832e+04,7.554e+04
28.3,7.125e+03,1.226e+04,8.985e+04,1.092e+05
29.8,2.251e+04,1.224e+04,9.877e+04,1.335e+05
31.4,3.247e+04,4.375e+03,1.064e+05,1.432e+05
33.0,2.995e+04,1.089e+03,1.039e+05,1.350e+05
34.6,2.639e+04,2.536e+03,1.095e+05,1.384e+05
36.1,2.804e+04,1.089e+04,1.567e+05,1.957e+05
37.7,3.802e+04,3.419e+04,2.941e+05,3.663e+05
39.3,4.430e+04,5.054e+04,3.732e+05,4.681e+05
40.8,4.415e+04,5.142e+04,3.089e+05,4.044e+05
42.4,5.854e+04,7.546e+04,3.246e+05,4.586e+05
44.0,8.082e+04,1.092e+05,3.436e+05,5.336e+05
45.6,9.934e+04,1.232e+05,3.014e+05,5.240e+05
47.1,1.165e+05,1.220e+05,2.480e+05,4.865e+05
48.7,1.252e+05,1.118e+05,2.328e+05,4.698e+05
50.3,1.153e+05,9.209e+04,2.603e+05,4.677e+05
51.8,9.662e+04,7.086e+04,3.202e+05,4.877e+05
53.4,8.258e+04,5.495e+04,4.383e+05,5.758e+05
55.0,7.050e+04,4.944e+04,5.660e+05,6.860e+05
56.6,5.426e+04,4.828e+04,5.988e+05,7.014e+05
58.1,3.894e+04,4.693e+04,5.685e+05,6.543e+05
59.7,2.735e+04,4.572e+04,5.049e+05,5.779e+05
61.3,1.913e+04,4.473e+04,4.127e+05,4.765e+05
62.8,1.362e+04,4.450e+04,3.365e+05,3.946e+05
64.4,1.029e+04,4.654e+04,2.879e+05,3.447e+05
66.0,8.298e+03,4.970e+04,2.458e+05,3.038e+05
67.5,7.312e+03,5.366e+04,2.162e+05,2.772e+05
69.1,6.273e+03,5.622e+04,1.914e+05,2.539e+05
70.7,5.258e+03,5.658e+04,1.696e+05,2.314e+05
72.3,4.219e+03,6.189e+04,1.588e+05,2.249e+05
73.8,3.303e+03,6.835e+04,1.448e+05,2.164e+05
75.4,2.784e+03,7.954e+04,1.341e+05,2.164e+05
77.0,2.556e+03,1.017e+05,1.281e+05,2.324e+05
78.5,3.334e+03,1.346e+05,1.231e+05,2.611e+05
80.1,4.723e+03,1.780e+05,1.207e+05,3.034e+05
81.7,5.524e+03,2.214e+05,1.205e+05,3.475e+05
83.3,6.214e+03,2.605e+05,1.167e+05,3.835e+05
84.8,9.045e+03,3.080e+05,1.168e+05,4.338e+05
86.4,1.415e+04,3.429e+05,1.190e+05,4.760e+05
88.0,1.848e+04,3.652e+05,1.127e+05,4.965e+05
89.5,2.367e+04,3.471e+05,9.975e+04,4.706e+05
91.1,3.322e+04,3.187e+05,9.157e+04,4.435e+05
92.7,5.015e+04,2.747e+05,7.705e+04,4.019e+05
94.3,7.033e+04,2.291e+05,6.194e+04,3.614e+05
95.8,8.872e+04,1.968e+05,5.346e+04,3.390e+05
97.4,1.096e+05,1.750e+05,4.724e+04,3.318e+05
99.0,1.351e+05,1.673e+05,4.194e+04,3.443e+05
100.5,1.611e+05,1.665e+05,3.704e+04,3.647e+05
102.1,1.874e+05,1.762e+05,3.527e+04,3.988e+05
103.7,2.079e+05,1.966e+05,3.422e+04,4.388e+05
105.2,2.173e+05,2.239e+05,3.357e+04,4.748e+05
106.8,2.254e+05,2.621e+05,3.480e+04,5.223e+05
108.4,2.280e+05,2.871e+05,3.683e+04,5.519e+05
110.0,2.152e+05,2.894e+05,3.613e+04,5.407e+05
111.5,2.006e+05,2.958e+05,3.768e+04,5.341e+05
113.1,1.820e+05,2.867e+05,3.814e+04,5.069e+05
114.7,1.626e+05,2.657e+05,3.854e+04,4.668e+05
116.2,1.405e+05,2.386e+05,3.772e+04,4.168e+05
117.8,1.349e+05,2.242e+05,3.839e+04,3.975e+05
119.4,1.414e+05,2.119e+05,3.923e+04,3.925e+05
121.0,1.438e+05,1.967e+05,3.859e+04,3.791e+05
122.5,1.604e+05,1.906e+05,3.807e+04,3.890e+05
124.1,1.866e+05,1.817e+05,3.788e+04,4.063e+05
125.7,2.212e+05,1.760e+05,3.679e+04,4.340e+05
127.2,2.766e+05,1.747e+05,3.341e+04,4.848e+05
