freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.936e+02,3.905e+03,4.109e+01,4.239e+03
1.5,2.371e+02,2.600e+04,3.560e+01,2.627e+04
3.0,6.340e+01,8.895e+03,1.719e+01,8.975e+03
4.5,5.440e+01,3.603e+03,2.276e+01,3.680e+03
5.9,6.380e+01,2.765e+03,2.774e+01,2.857e+03
7.4,4.498e+01,2.576e+03,2.985e+01,2.651e+03
8.9,3.188e+01,3.256e+03,5.007e+01,3.338e+03
10.4,4.967e+01,4.238e+03,5.704e+01,4.345e+03
11.9,1.119e+02,5.303e+03,1.294e+02,5.544e+03
13.4,2.556e+02,6.502e+03,2.391e+02,6.997e+03
14.9,3.484e+02,8.562e+03,2.601e+02,9.170e+03
16.4,5.139e+02,1.214e+04,3.893e+02,1.304e+04
17.8,8.384e+02,1.553e+04,7.311e+02,1.710e+04
19.3,1.275e+03,1.558e+04,1.009e+03,1.786e+04
20.8,1.756e+03,1.907e+04,1.535e+03,2.236e+04
22.3,2.434e+03,2.469e+04,1.839e+03,2.896e+04
23.8,3.168e+03,3.243e+04,2.054e+03,3.766e+04
25.3,5.121e+03,4.869e+04,2.415e+03,5.622e+04
26.8,1.225e+04,7.809e+04,3.381e+03,9.372e+04
28.3,4.207e+04,1.366e+05,6.460e+03,1.851e+05
29.7,1.242e+05,2.017e+05,1.279e+04,3.387e+05
31.2,2.209e+05,2.365e+05,1.973e+04,4.772e+05
32.7,2.968e+05,2.504e+05,2.479e+04,5.721e+05
34.2,4.124e+05,2.454e+05,3.274e+04,6.906e+05
35.7,5.329e+05,2.184e+05,4.256e+04,7.939e+05
37.2,5.984e+05,2.068e+05,4.812e+04,8.533e+05
38.7,5.708e+05,2.034e+05,4.692e+04,8.211e+05
40.1,5.175e+05,1.897e+05,4.046e+04,7.477e+05
41.6,4.540e+05,1.644e+05,3.214e+04,6.506e+05
43.1,4.091e+05,1.576e+05,2.951e+04,5.962e+05
44.6,3.318e+05,1.392e+05,2.897e+04,4.999e+05
46.1,2.501e+05,1.097e+05,2.747e+04,3.873e+05
47.6,1.759e+05,9.516e+04,2.670e+04,2.978e+05
49.1,1.214e+05,9.014e+04,2.725e+04,2.388e+05
50.6,7.994e+04,8.640e+04,2.782e+04,1.942e+05
52.0,5.012e+04,8.126e+04,3.130e+04,1.627e+05
53.5,3.754e+04,7.983e+04,3.930e+04,1.567e+05
55.0,3.612e+04,7.510e+04,3.947e+04,1.507e+05
56.5,3.610e+04,6.762e+04,4.062e+04,1.443e+05
58.0,4.230e+04,6.222e+04,4.291e+04,1.474e+05
59.5,5.532e+04,6.091e+04,5.326e+04,1.695e+05
61.0,6.290e+04,5.945e+04,4.994e+04,1.723e+05
62.5,8.068e+04,5.190e+04,3.938e+04,1.720e+05
63.9,1.009e+05,4.595e+04,2.624e+04,1.730e+05
65.4,1.177e+05,4.237e+04,1.743e+04,1.775e+05
66.9,1.365e+05,3.935e+04,1.331e+04,1.891e+05
68.4,1.457e+05,3.551e+04,1.169e+04,1.929e+05
69.9,1.449e+05,3.337e+04,1.043e+04,1.887e+05
71.4,1.424e+05,3.181e+04,1.037e+04,1.846e+05
72.9,1.337e+05,2.988e+04,8.417e+03,1.720e+05
74.3,1.164e+05,2.710e+04,7.075e+03,1.506e+05
75.8,1.014e+05,2.543e+04,6.051e+03,1.329e+05
77.3,8.213e+04,2.367e+04,4.976e+03,1.108e+05
78.8,7.092e+04,2.272e+04,4.661e+03,9.830e+04
80.3,5.926e+04,2.211e+04,4.149e+03,8.551e+04
81.8,4.894e+04,2.597e+04,4.421e+03,7.933e+04
83.3,4.693e+04,3.570e+04,5.467e+03,8.810e+04
84.8,4.142e+04,4.433e+04,6.166e+03,9.192e+04
86.2,3.809e+04,5.232e+04,6.230e+03,9.664e+04
87.7,3.359e+04,5.697e+04,5.783e+03,9.635e+04
89.2,3.236e+04,5.435e+04,5.138e+03,9.186e+04
90.7,3.260e+04,5.008e+04,4.262e+03,8.694e+04
92.2,3.326e+04,4.776e+04,3.526e+03,8.455e+04
93.7,3.838e+04,4.518e+04,3.287e+03,8.685e+04
95.2,4.021e+04,4.360e+04,3.095e+03,8.691e+04
96.6,4.465e+04,3.919e+04,2.717e+03,8.655e+04
98.1,4.665e+04,3.683e+04,2.637e+03,8.613e+04
99.6,4.840e+04,3.338e+04,2.551e+03,8.433e+04
101.1,5.310e+04,3.223e+04,2.456e+03,8.779e+04
102.6,5.456e+04,2.994e+04,2.250e+03,8.675e+04
104.1,6.382e+04,3.139e+04,2.286e+03,9.750e+04
105.6,6.918e+04,3.257e+04,2.412e+03,1.042e+05
107.1,7.336e+04,3.062e+04,2.310e+03,1.063e+05
108.5,8.931e+04,3.260e+04,2.554e+03,1.245e+05
110.0,8.646e+04,3.088e+04,2.889e+03,1.202e+05
111.5,8.415e+04,2.856e+04,2.800e+03,1.155e+05
113.0,7.945e+04,2.487e+04,2.918e+03,1.072e+05
114.5,7.971e+04,2.324e+04,3.185e+03,1.061e+05
116.0,7.159e+04,1.954e+04,3.130e+03,9.426e+04
117.5,6.502e+04,1.643e+04,3.206e+03,8.466e+04
119.0,6.385e+04,1.508e+04,3.504e+03,8.243e+04
120.4,6.078e+04,1.340e+04,3.684e+03,7.786e+04
